This column has important keywords, like level name, intro, deaths, end. And alt version for platforms alt-c64 alt-speccy alt-amiga alt-atari (default is CPC with no tag, alt must be after)	Comment (give about about the context of the sentence)	Original french text	Translation ENGLISH	Initial of translator	Word check. Should be less than 168	Translation SPANISH	Initial of translator	Word check. Should be less than 168	Translation ITALIAN	Initial of translator	Word check. Should be less than 168	Translation GREEK	Initial of translator	Word check. Should be less than 168	Translation GERMAN	Initial of translator	Word check. <168	Translation POLISH	Initial of translator	Word check. <168	no
Level01		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase.  New: \n to go to new line New: \c to center line	RED = Not translated ORANGE = Translated (native or non native) GREEN = Translated and verified. (ny native people)  Change background of the cell once you've done the translation (Red to Orange) and if you are verifying (Orange to Green)	add your initials in that cell		RED = Not translated ORANGE = Translated  GREEN = Translated and verified.  Change background of the cell once you've done the translation (Red to Orange) and if you are verifying (Orange to Green)  you can hide column if you want the english/french text just next to you. Keep in mind that the letter count should be below 168. The column will display a red flag if messages are too long.	add your initials in that cell		RED = Not translated ORANGE = Translated  GREEN = Translated and verified.  Change background of the cell once you've done the translation (Red to Orange) and if you are verifying (Orange to Green)  you can hide column if you want the english/french text just next to you. Keep in mind that the letter count should be below 168. The column will display a red flag if messages are too long.	add your initials in that cell		RED = Not translated ORANGE = Translated  GREEN = Translated and verified.  Change background of the cell once you've done the translation (Red to Orange) and if you are verifying (Orange to Green)  you can hide column if you want the english/french text just next to you. Keep in mind that the letter count should be below 168. The column will display a red flag if messages are too long.	add your initials in that cell		RED = Not translated ORANGE = Translated  GREEN = Translated and verified.  Change background of the cell once you've done the translation (Red to Orange) and if you are verifying (Orange to Green)  you can hide column if you want the english/french text just next to you. Keep in mind that the letter count should be below 168. The column will display a red flag if messages are too long.	add your initials in that cell		RED = Not translated ORANGE = Translated (native or non native) GREEN = Translated and verified. (ny native people)  Change background of the cell once you've done the translation (Red to Orange) and if you are verifying (Orange to Green)	add your initials in that cell		Automatic translation (do not change). The values are copied to column D to provide a starting point. Langage code have to be entered in cell G1. The codes are for example en, es, pt .... no it ja  da  pl de el( greek)  Also https://context.reverso.net/ is giving better results
intro	In that colomn, you'll find some info about the context. Here we start with tutorial to teach player how to play.	Bienvenue dans NINJA CARNAGE. Tout d’abord sache que ce jeu contient un langage très grossier. Appuie sur ESPACE ou FEU pour continuer.	Welcome to NINJA CARNAGE.\nFirst of all, be aware that this\ngame contains very rude language.\n\nPress SPACE or FIRE to continue.	CK FG RF	130	Bienvenido a NINJA CARNAGE. Primeramente, ten en cuenta que este juego utiliza un lenguaje muy grosero. Pulsa ESPACIO o DISPARO para continuar.	HAM miguelsky	143	Benvenuto a NINJA CARNAGE. Prima di tutto devi sapere che questo gioco contiene un linguaggio molto volgare. Premi SPAZIO o FUOCO per continuare.	Mr. DVG Parsec farox	145	Καλώς ήλθες στο NINJA CARNAGE. Αρχικά, πρέπει να γνωρίζεις ότι αυτό το παιχνίδι περιέχει πολύ χυδαία γλώσσα. Πίεσε SPACE ή FIRE για να συνεχίσεις.	msg /SK	146	Willkommen bei NINJA CARNAGE. Vorsicht, dieses Spiel enthält sehr vulgäre Sprache! Drücke die LEERTASTE oder FEUER, um trotzdem fortzufahren.	Phoenix Yth Dissident	141	Witaj w NINJA CARNAGE! \nAutorzy zwracają uwagę, że gra miejscami zawiera niewybredny, czasem wulgarny język. Naciśnij SPACJĘ lub FIRE by kontynuować.	PS2 SP	150	Velkommen NINJA Carnage. Først vite at dette spillet inneholder svært sterkt språk. Presser SPACE eller FIRE å fortsette.
	Warning about age (because of rude langage). Teach how to go to next page.	Le jeu est déconseillé aux moins de 16 ans. Si tu es OK, appuie sur ACTION pour continuer. ACTION te servira à valider et passer toutes les pages du jeu.	The game is not recommended\nfor children under 16.\nIf you are happy to continue,\npress ACTION. ACTION is used\nto go to the next page.	CK RF	137	Este juego no es apto para menores de 16 años. Si estás de acuerdo, pulsa ACCIÓN para continuar. En el juego, ACCIÓN se usará siempre para pasar de página.	HAM miguelsky	155	Il gioco è sconsigliato ai minori di anni 16. Se sei OK, premi AZIONE per continuare. AZIONE viene utilizzato sempre per passare alla pagina successiva.		152	Το παιχνίδι δεν συνίσταται για παιδιά κάτω των 16. Αν είσαι OK, πάτησε το πλήκτρο ACTION για να συνεχίσεις. Το πλήκτρο ACTION θα σε οδηγεί στην επόμενη σελίδα. 	 msg/SK	160	Dieses Spiel ist nicht für Kinder unter 16 Jahren geeignet.\nBist Du alt genug,\ndrücke AKTION um fortzufahren.	Phoenix Yth Dissident	111	Gra dla osób pełnoletnich. Je--żeli zgadzasz się, naciśnij AKCJĘ (Spacja/Fire) by kontynuować grę. Używaj też AKCJI by potwier--dzać i przechodzić etapy gry.	PS2 SP	157	Spillet anbefales for barn under 16 år. Hvis du er OK, trykker ACTION fortsette. ACTION du brukte til å validere og flytte alle sider av spillet.
	Presentation of the ninja. "bogoss" is "good looking guy"	Parfait, on y va alors. Je m’appelle ISHIKAWA NAGATO. Je suis un Ninja assez connu. T'as vu le bogoss ? Quoi, t’as jamais entendu parler de moi ?	Perfect, here we go:\nI'm ISHIKAWA NAGATO.\nI'm a Ninja, and a fucking LEGEND.\n\nWhat, you never heard of me?	CK RF CT	110	Perfecto, vamos allá: me llamo ISHIKAWA NAGATO. Soy un famoso Ninja. Un tipo guapo, ¿verdad? ¿Cómo? ¿Que nunca has oído hablar de mí?	HAM miguelsky	133	Perfetto, eccoci qua: Io sono ISHIKAWA NAGATO. Un ninja abbastanza famoso. Bel ragazzo, non è vero? Cosa? Non hai mai sentito parlare di me?	Mr. DVG Parsec	140	Ας αρχίσουμε, λοιπόν. Ονομάζομαι ISHIKAWA NAGATO και είμαι διάσημος νίντζα. Και το πρώτο γκομενάκι, ε; Τι; Δεν έχεις ξανακούσει για μένα;	msg/SK	137	Perfekt, los geht's. Ich bin ISHIKAWA NAGATO. Ein ziemlich berühmter Ninja. Hübscher Junge, was? Wie bitte, Du hast noch nie von mir gehört?	Phoenix Yth Dissident	140	No dobra, to zaczynamy. Nazywam się ISHIKAWA NAGATO. Jestem doś--wiadczonym i dość znanym Ninja. Na pewno o mnie słyszałeś, co?! Coo? Nigdy? Gdzie Ty żyjesz, chłopie?	PS2 SP	166	Perfekt, så vi går. Mitt navn ISHIKAWA Nagato. Jeg er en ganske erfarne Ninja. Har du sett bogoss? Hva, har du aldri hørt om meg?
		Tu sors des fois ou tu restes devant ton ordi à te branler toute la journée ? On n'a pas idée d’être aussi peu cultivé. Au moins tu me connais maintenant...	Do you ever leave the house?\nOr just sit at your computer\njerking off all day long?\nSounds fucking antisocial.\nWell at least you know ME now...	CK RF CT	147	¿Vas a salir o piensas seguir haciéndote pajas frente al ordenador todo el día? ¡Menudo mentecato! Bueno, al menos ya me conoces...	HAM miguelsky	131	A volte esci anche? O stai tutto il giorno seduto a masturbarti davanti al computer? Lo so, sono stato un cafone e senza motivo, ma almeno ora mi conosci...	Mr. DVG Parsec	156	Βγαίνεις καθόλου έξω ή κάθεσαι όλη μέρα μπροστά από τον υπολογι--στή και τον παίζεις; Δεν εξηγείται αλλιώς το να είσαι τόσο άσχετος. Τουλάχιστον, πλέον με γνωρίζεις.	msg/SK	165	Gehst Du auch mal raus, oder hockst Du den ganzen Tag vor der Kiste und rubbelst Dir einen? Klingt beschissen unsozial. Naja, nun kennst Du ja MICH...	Phoenix Yth Dissident	150	Wychodzisz Ty czasem z domu czy tylko siedzisz cały dzień w pokoju trzepiąc se przed kompem i nawet nie wiesz, jak małe masz IQ...\nNo to teraz WIESZ KIM JESTEM!!	PS2 SP2	162	Du går ut av tid eller du bo foran datamaskinen du onanerer hele dagen? Du aner ikke å bli så lite dyrket. Minst du nå kjenner meg ...
	This is the name of the bad guy. it is a woman.	Ces derniers temps, on entend beaucoup parler de cette conne de NURE-ONNA. Ça me fait carrément chier car je tue 10 fois plus que cette grosse pute !	I've been hearing a lot\nabout this cunt NURE-ONNA.\nIt's pissing me off - I've killed\nten times as many people as\nthat attention-seeking bitch!	CK  RF CT	146	Últimamente, se oye mucho hablar de esa zorra de NURE-ONNA. ¡Es una mierda porque yo mato diez veces más que ese pedazo de puta!	HAM miguelsky	128	Ultimamente ho sentito parlare molto di quella stronza di NURE-ONNA. Mi fa incazzare perché io sono dieci volte più letale di quella maledetta troia!	Mr. DVG Parsec	149	Τελευταία, ακούω συνέχεια για αυτό το μουνί, τη NURE-OΝΝΑ. Και διαολίζομαι, γιατί σκοτώνω 10 φορές περισσότερο από αυτήν την καριόλα!	msg/SK	133	Letztens habe ich von dieser Schlampe NURE-ONNA gehört. Und das macht mich wütend, ich erledige 10 Mal mehr Opfer als diese elende Hure!	Yth Dissident	136	Ostatnimi czasy dużo słychać o tej głupiej dupie NURE-ONNA. Wkur--wia mnie to totalnie, bowiem załat--wiłem 10 razy więcej ludzi niż ta szukająca poklasku gruba dupa!	PS2 SP	166	Det siste, hører vi mye om denne dama fra Nure-Onna. Det gjør meg rett og slett dritt fordi jeg dreper 10 ganger mer enn den store tispe!
		Bref, j’ai décidé d’aller m’occuper d’elle et de foutre le merdier dans son organisation de baltringues. Elle se cache dans un temple au coeur du japon.	In short, I've decided to\nfuck her over, and her gang\nof pussies too. She's hiding\nin a temple in inner Japan.	CK RF CT	113	Bueno, he decidido encargarme de ella y mandar a la mierda su organización de malparidos. Sé que se esconde en un templo en medio de Japón.	HAM miguelsky	139	In breve, ho deciso di occuparmi di lei e di fottere tutta la sua organizzazione di fighette. Si nasconde in un tempio nel cuore del Giappone.	Mr. DVG Parsec	142	Να μην πολυλογώ, αποφάσισα να την ξεκωλιάσω, αυτήν και τη συμμορία της από φλώρους. Κρύβεται σε έναν ναό στην ιαπωνική ενδοχώρα.	msg/SK	128	Also habe ich beschlossen, mich um sie und ihre Pussytruppe zu kümmern. Sie verkriechen sich in einem Tempel mitten in Japan.	Phoenix Yth Dissident	125	Mówiąc krótko, postanowiłem wy--jebać ją w kosmos razem z całym tym jej gangiem przybocznych przy--dupasów. Wiem, że ukrywa się w świątyni w SERCU Japonii...	PS2 SP	157	Uansett, bestemte jeg meg for å gå ta vare på henne og knulle dritt i hans organisasjon baltringues. Hun gjemmer seg i et tempel i hjertet av Japan.
	"ma couille" is an expression from south of France (Marseille). mean "my buddy"	Une fois qu’elle ne sera plus de ce monde, on pourra à nouveau parler de moi comme avant. J’ai une réputation à tenir !! C'est là que tu interviens ma couille.	Once she's out'a the picture,\npeople will talk about me like\nbefore. I have a reputation to keep!\nThis is where you come in buddy.	CK RF CT	133	Una vez que ella la palme, la gente volverá a hablar de mí como antes. ¡Debo mantener mi reputación! Y aquí es donde te paso la pelota, colega.	HAM miguelsky	143	Quando non farà più parte di questo mondo, la gente parlerà di me come prima. Ho una reputazione da mantenere. Ed è qui che entri in gioco tu!	Mr. DVG Parsec	142	Αφού την ξεκάνω, θα αποκτήσω την παλιά μου φήμη. Έχουμε και ένα πρόσωπο στην πιάτσα!! Εδώ είναι που θέλω τη βοήθειά σου, φιλαράκο.	msg/SK	130	Wenn sie von der Bildfläche verschwinden, reden die Leute wieder wie früher über mich! Und da kommst Du ins Spiel.	Phoenix Yth 	114	Kiedy ona w końcu już zniknie z tego świata, ludzie znów będą mówić o mnie, tak jak dawniej! Muszę dbać o swoją reputację! I tutaj zaczyna się Twoja rola!	PS2 SP	154	Når det ikke lenger er av denne verden, kan vi igjen snakke om meg som før. Jeg har et rykte for å holde !! Det er her du kommer i min testikkel.
		La mauvaise nouvelle pour moi, c’est que c’est TOI qui vas me servir de guide. On m’a dit que t’étais pas une flèche ! Je sens que je vais en chier !!!	The bad news for ME is that\nit's YOU who'll be my guide.\nAnd I was told that you were slow\n on the uptake... so i think you're gonna be a real pain in the ass!	CK RF CT	162	Lo peor de todo, para mí, es que TÚ serás mi guía. Me han dicho que eres corto de reflejos. ¡Siento que la vamos a cagar!	HAM miguelsky	121	La cattiva notizia per me è che sarai TU la mia guida. Mi è stato detto che sei piuttosto lento! Sento che sarai una vera spina nel fianco.	Mr. DVG Parsec	139	Τα άσχημα νέα είναι οτι θα είσαι ΕΣΥ ο οδηγός μου. Από ο,τι ακούω, δεν στροφάρεις και πολύ. Κακό σπυρί στον κώλο τη βλέπω τη δουλειά!!!	msg/SK	135	Schlecht für mich: DU wirst mich führen müssen. Und mir wurde gesagt, Du bist nicht gerade schnell. Das wird hoffentlich kein Arschtritt für mich!	Phoenix Yth Dissident	146	Ty będziesz moim przewodnikiem! Co za pech, wiesz? Powiedziano mi, że bystrzakiem to Ty nie jesteś. Coś czuję, że będziesz dla mnie niczym prawdziwy ból d..y!	PS2 SP	158	Den dårlige nyheten for meg er at det er du som vil være min guide. Jeg ble fortalt at du ikke var en pil! Jeg føler jeg kommer til å dritt !!!
		Mais il n’y a que toi de disponible. Dis moi, faut quand même être sacrément attardé pour jouer encore sur un CPC de nos jours ??!	But you're the only one around.\n\nTell me, ain't you some kinda\nsad imbecile to still be\nplaying on a CPC?	CK RF CT AH	109	Pero resulta que no hay nadie más disponible. ¿Y acaso no es cierto que solo los retrasados siguen jugando en un CPC hoy en día?	HAM miguelsky	128	Purtroppo, però, sei l'unica opzione disponibile. Dimmi un po', non ti senti un ritardato a giocare ancora con un CPC al giorno d'oggi?!	Mr. DVG Parsec	136	Τι να κανω που μόνο εσύ είσαι διαθέσιμος; Μιλάμε, πρέπει να είσαι τελείως καθυστερημένος για να χρησιμοποιείς CPC τη σήμερον ημέρα!	msg/SK	131	Leider stehst nur Du zur Verfügung. Sag mal, was für eine armselige Wurst spielt heutzutage eigentlich noch auf dem CPC?!	Phoenix Yth Dissident	121	No ale cóż, tylko Ty jesteś pod ręką... Powiedz mi, trzeba być jednak nieźle opóźnionym by wciąż grać w gry na AMSTRADZIE CPC w tych czasach.	PS2 SP	141	Men bare du er tilgjengelig. Si meg, du har fortsatt å være ganske tilbakestående å selv spille på en CPC i dag ??!
